"","x"
"2-methylcitratecycleI",8
"adenosylcobalaminbiosynthesisII(aerobic)",7
"aerobicrespirationI(cytochromec)",1
"aminoimidazoleribonucleotidebiosynthesis",1
"androstenedionedegradation",6
"CDP-diacylglycerolbiosynthesis",12
"cholesteroldegradation",13
"ethanoldegradationI",1
"ethanoldegradationII",2
"fattyacid&beta;-oxidationI",11
"fattyacidbiosynthesisinitiationI",1
"glycogenbiosynthesisIII(from&alpha;-maltose1-phosphate)",4
"isoleucinebiosynthesis",7
"L-argininebiosynthesis",2
"L-glutaminedegradationI",4
"L-methioninebiosynthesis",1
"L-serinebiosynthesisI",7
"L-tryptophanbiosynthesis",1
"L-valinedegradationI",4
"mixedacidfermentation",4
"mycolatebiosynthesis",13
"NADHtocytochrome_bd_oxidaseelectrontransfer",4
"octaneoxidation",10
"palmitatebiosynthesisII(bacteriaandplants)",10
"pentosephosphatepathway",2
"peptidoglycanbiosynthesisIII(mycobacteria)",2
"phenolphthiocerolbiosynthesis",6
"phosphatidylglycerolbiosynthesis",12
"phospholipases",1
"phthiocerolbiosynthesis",7
"pyrimidinedeoxyribonucleotides_denovo_biosynthesis",9
"serineandglycinebiosynthesis",13
"stearatebiosynthesisII(bacteriaandplants)",10
"superpathwayofguanosinenucleotides_denovo_biosynthesis",7
"superpathwayofmycolyl-arabinogalactan-peptidoglycancomplexbiosynthesis",2
"superpathwayofsulfateassimilationandcysteinebiosynthesis",7
"TCAcycleV(2-oxoglutarate:ferredoxinoxidoreductase)",6
"trehalosebiosynthesis",3
"tRNAcharging",8
